L = 12, j = 1.0, jz = 0.5, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.1704699910719625, length: 8
 b_2 = 2.192572065582731, length: 8
b_162 = 11.166221749539346, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:20:51.214
b_163 = 11.025190510996383, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:21:12.697
b_164 = 11.0000830096127, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:21:34.085
b_165 = 11.023189424823512, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:21:55.575
b_166 = 11.031371578472896, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:22:17.144
b_167 = 10.997479713387627, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:22:38.534
b_168 = 11.000934879851181, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:23:00.002
b_169 = 11.056170731482329, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:23:21.445
b_170 = 11.155496877873352, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:23:43.008
b_171 = 11.202432966063068, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:24:04.441
b_172 = 11.233076730433792, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:24:25.834
b_173 = 11.266910252235993, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:24:47.323
b_174 = 11.383749743839397, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:25:08.978
b_175 = 11.60287056004437, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:25:30.415
b_176 = 12.064404305745164, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:25:51.916
b_177 = 12.506454341743213, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:26:13.433
b_178 = 12.59878830683198, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:26:35.045
b_179 = 12.291470797415458, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:26:56.59
b_180 = 11.929696324629894, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:27:17.962
b_181 = 11.591284972826815, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:27:39.36
b_182 = 11.33214289839305, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:28:00.98
b_183 = 11.146359661216083, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:28:22.414
b_184 = 11.049405649409302, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:28:43.817
b_185 = 11.008838885076374, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:29:05.297
b_186 = 10.994493070474274, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:29:26.881
b_187 = 10.962366252594657, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:29:48.291
b_188 = 10.986511894164854, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:30:09.733
b_189 = 11.049341741842907, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:30:31.113
b_190 = 11.12485958660215, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:30:52.703
b_191 = 11.135180547789284, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:31:14.17
b_192 = 11.162434967924522, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:31:35.577
b_193 = 11.202539122175816, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:31:57.042
b_194 = 11.274290372717582, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:32:18.646
b_195 = 11.270677654832337, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:32:40.076
b_196 = 11.239002595202592, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:33:01.599
b_197 = 11.240618018830721, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:33:23.073
b_198 = 11.313532919105295, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:33:44.668
b_199 = 11.325901693444134, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:34:06.179
b_200 = 11.344903273633525, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:34:27.651
b_201 = 11.399127120529098, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:34:49.166
b_202 = 11.523264882771135, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:35:10.765
b_203 = 11.576066384420825, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:35:32.232
b_204 = 11.495661193591616, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:35:53.712
b_205 = 11.338956987441692, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:36:15.208
b_206 = 11.1760602737403, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:36:36.807
b_207 = 11.072230246256956, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:36:58.202
b_208 = 11.056152609482698, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:37:19.682
b_209 = 11.05549408572022, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:37:41.219
b_210 = 11.062615655611342, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:38:02.806
b_211 = 11.048511109789494, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:38:24.297
b_212 = 11.063030508754936, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:38:45.773
b_213 = 11.037227941267455, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:39:07.22
b_214 = 10.961156651261065, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:39:28.88
b_215 = 10.854983414567114, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:39:50.313
b_216 = 10.795982124806608, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:40:11.753
b_217 = 10.828999054938347, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:40:33.279
b_218 = 10.925529745355025, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:40:54.958
b_219 = 11.080794783855946, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:41:16.494
b_220 = 11.328479336972292, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:41:38.072
b_221 = 11.599943835966423, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:41:59.611
b_222 = 11.825992988781396, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:42:21.321
b_223 = 11.900655031105966, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:42:42.892
b_224 = 11.87171432166065, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:43:04.372
b_225 = 11.825541755248286, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:43:25.946
b_226 = 11.852311356594637, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:43:47.645
b_227 = 11.796777063619983, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:44:09.119
