L = 12, j = 1.0, jz = 0.6, g = 0.3, gamma = 0.9, threshold = 0, steps = 600, start = x 
b_1 = 1.3453624047073711, length: 8
 b_2 = 2.209284777143801, length: 8
b_78 = 12.164490973201, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:50:41.251
b_79 = 12.102594553011922, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:02.437
b_80 = 12.030520123847992, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:23.643
b_81 = 11.83088745127824, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:51:44.988
b_82 = 11.743844582333615, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:06.231
b_83 = 11.684984156488635, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:27.368
b_84 = 11.798760756784569, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:52:48.874
b_85 = 11.954179771316301, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:10.688
b_86 = 12.105386038414666, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:31.968
b_87 = 12.074726608032336, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:53:53.212
b_88 = 11.91426248128125, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:54:14.547
b_89 = 11.755922300830017, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:54:36.089
b_90 = 11.704252072449155, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:54:57.431
b_91 = 11.72735445425366, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:55:18.791
b_92 = 11.772113667187961, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:55:40.083
b_93 = 11.762466187476049, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:56:01.554
b_94 = 11.797084887737846, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:56:22.877
b_95 = 11.743101288570765, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:56:44.189
b_96 = 11.760490271207455, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:57:05.501
b_97 = 11.695521895473158, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:57:27.074
b_98 = 11.807256388151353, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:57:48.478
b_99 = 11.860384221420983, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:58:09.84
b_100 = 12.044013780815732, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:58:31.254
b_101 = 12.097632024907082, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:58:52.885
b_102 = 12.17866737555125, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:59:14.218
b_103 = 12.254924354085103, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:59:35.637
b_104 = 12.34293286277045, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T02:59:57.04
b_105 = 12.326924033900294, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:00:18.553
b_106 = 12.11665982827265, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:00:39.974
b_107 = 12.076213515333306, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:01:01.328
b_108 = 12.057173332025664, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:01:22.665
b_109 = 12.12896498368257, length  = 4194304, memory = 5.960464477539063e-8, time = 2020-06-23T03:01:44.208
